93.0061, 43.2762, -59.0466	277.668, 224.611, -200.488
44.2065, 41.0473, -94.1227	-95.1685, -151.76, 172.586
88.1698, 44.796, -63.0615	-85.0018, -136.316, 162.463
64.2453, 43.2462, -77.6175	268.895, 216.974, 168.534
60.2926, 44.3978, -83.7364	-91.4021, -147.146, -190.472
53.4529, 42.2425, -85.1931	-93.8381, -148.285, 172.145
44.3337, 38.272, -94.1168	263.436, 207.588, -185.529
85.6578, 43.4622, -63.2653	274.044, 223.733, 163.308
57.7178, 59.6684, -56.3466	-261.51, -33.825, -15.5216
-15.4077, 31.0657, -89.4072	79.0753, -8.56287, -1.09189
